ct_pickup,n_rides,avg_fare_amount,avg_trip_distance,avg_trip_time_in_secs,total_passengers,period_id
1010200,2,11.75,2.5700000000000003,753.0,7,0_00_
1010300,3,6.333333333333333,1.12,343.0,7,0_00_
1010400,11,7.090909090909091,1.5590909090909089,390.27272727272725,22,0_00_
1010601,1,11.5,2.86,720.0,1,0_00_
1010801,3,9.333333333333334,2.046666666666667,576.0,3,0_00_
1010803,3,7.0,1.29,383.0,3,0_00_
1010900,1,11.5,3.1,645.0,1,0_00_
1011000,6,11.166666666666666,2.7550000000000003,672.6666666666666,12,0_00_
1011100,5,8.5,2.0060000000000002,459.2,15,0_00_
1011201,2,11.75,3.17,671.5,2,0_00_
1011202,5,5.1,0.704,268.0,13,0_00_
1011203,2,7.5,1.5799999999999998,394.5,2,0_00_
1011300,25,9.72,2.2352000000000003,584.16,44,0_00_
1011401,7,6.214285714285714,1.0457142857142858,348.7142857142857,9,0_00_
1011402,4,7.75,1.6524999999999999,413.25,4,0_00_
1011500,13,7.615384615384615,1.643846153846154,416.61538461538464,30,0_00_
1011600,2,11.25,2.59,750.0,3,0_00_
1011700,3,5.5,0.9733333333333333,270.6666666666667,8,0_00_
1011800,2,8.25,1.835,423.0,6,0_00_
1011900,22,7.613636363636363,1.6327272727272728,432.90909090909093,28,0_00_
1012000,2,8.0,1.6,453.0,3,0_00_
1012101,5,11.8,2.774,779.0,6,0_00_
1012102,7,5.642857142857143,0.8828571428571428,302.57142857142856,11,0_00_
1012200,2,6.75,1.275,354.5,2,0_00_
1012400,3,9.5,2.1366666666666667,630.3333333333334,9,0_00_
1012500,18,7.361111111111111,1.5444444444444445,421.8333333333333,35,0_00_
1012601,1,9.0,2.53,600.0,1,0_00_
1012602,2,13.25,3.59,840.0,4,0_00_
1012700,8,5.5,0.9,286.125,12,0_00_
1012800,2,5.75,0.9450000000000001,293.5,2,0_00_
1012901,2,6.0,1.2000000000000002,303.5,7,0_00_
1012902,5,7.4,1.576,399.8,11,0_00_
1013000,1,7.0,1.38,300.0,6,0_00_
1013100,20,9.1,2.085,545.5,23,0_00_
1013202,1,5.5,0.8,279.0,1,0_00_
1013203,1,6.5,1.5,319.0,1,0_00_
1013300,9,5.611111111111111,0.9533333333333334,295.0,18,0_00_
