pickup_time,rides_pooled_fraction,vehicle_number_reduction,vehicle_miles_reduction,vehicle_time_reduction,pooled_passenger_fraction,avg_fare_amount_pooled,avg_fare_amount_rides,all_rides,pooled_rides,unpooled_rides,pooled_vans
2013-06-05 00:00,0.14056939501779359,0.8469750889679716,0.8216886586645317,0.8328641266722838,0.1646586345381526,7.952623456790123,8.941543220572179,1124,330,794,158
2013-06-05 00:30,0.11668757841907151,0.8720200752823086,0.8567370526243331,0.8621687200613088,0.14415094339622642,7.952863577863579,8.694720739466355,797,195,602,93
2013-06-05 01:00,0.09803921568627451,0.8948306595365418,0.8777074217231874,0.8787309245074664,0.1108719052744887,7.294823232323233,8.354277248058901,561,114,447,55
2013-06-05 01:30,0.08264462809917356,0.9090909090909091,0.883153231608356,0.8891764296746282,0.17235772357723578,6.132936507936508,7.694811640071048,363,63,300,30
2013-06-05 02:00,0.09404388714733543,0.9028213166144201,0.896865640282442,0.8934773289677531,0.07269155206286837,7.488888888888889,8.004644536177045,319,61,258,30
2013-06-05 02:30,0.05286343612334802,0.9383259911894273,0.9344188266338431,0.9398452452790974,0.11442786069651742,7.630681818181818,7.713803459528141,227,26,201,12
2013-06-05 03:00,0.0851063829787234,0.9148936170212766,0.9043295171649215,0.9072114006338468,0.13780918727915195,7.434523809523809,8.143445548951288,188,32,156,16
2013-06-05 03:30,0.08163265306122448,0.9115646258503401,0.8902825271822606,0.8981696685037669,0.07480314960629922,6.138888888888889,7.2543237433862435,147,25,122,12
2013-06-05 04:00,0.04225352112676056,0.9507042253521126,0.929828252630343,0.9326299073145086,0.05737704918032787,5.125,7.575050200803212,142,13,129,6
2013-06-05 04:30,0.0,1.0,1.0,1.0,0.6470588235294118,6.164699074074075,7.375,89,0,89,0
2013-06-05 05:00,0.04,0.96,0.9591399965479012,0.9630701191271592,1.392156862745098,6.844425154320987,6.802696078431373,100,8,92,4
2013-06-05 05:30,0.12916666666666668,0.8541666666666666,0.8600402915038394,0.8729335564697902,1.648936170212766,7.5944671792328045,7.220515595515595,240,66,174,31
2013-06-05 06:00,0.1341991341991342,0.8484848484848485,0.8576917131717683,0.8792328145864872,1.526896551724138,8.540956889719203,7.826927671895205,462,132,330,62
2013-06-05 06:30,0.15717926932880205,0.8139337298215803,0.799128450305054,0.8395036819877663,0.9266347687400319,8.863814627360547,8.684531054569714,1177,404,773,185
2013-06-05 07:00,0.17811984606926884,0.7905442550852116,0.7577012674672011,0.8072207724619694,0.5967406380027739,9.114320565347352,9.403453615449545,1819,705,1114,324
2013-06-05 07:30,0.1857418111753372,0.7757225433526012,0.7481111767382651,0.7848470272132592,0.31309297912713474,9.501944920015571,9.761853173720596,2595,1064,1531,482
2013-06-05 08:00,0.1791161517403207,0.7895971842002346,0.763807580411084,0.7797624993785907,0.25659416936603424,9.412071123321123,10.120664414508294,2557,996,1561,458
2013-06-05 08:30,0.16226575809199317,0.8028109028960818,0.768474753146125,0.7750128025040415,0.24980278727320537,9.162106590799771,10.783310094274675,2348,844,1504,381
